name,long_description,genres,publisher,overall_player_rating,link,filtered_descriptions
Black Myth: Wukong,"About This Game
							Black Myth: Wukong is an action RPG rooted in Chinese mythology. The story is based on Journey to the West, one of the Four Great Classical Novels of Chinese literature. You shall set out as the Destined One to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.• Explore a Land of Vast Wonders""A world unseen, where wonders gleam,And with each stride, a new scene streams.""Enter a fascinating realm filled with the wonders and discoveries of ancient Chinese mythology!As the Destined One, you shall traverse an array of breathtaking and distinctive landscapes from the classic tale, composing an epic of adventure that is seen anew.• Confront Mighty Foes, Old and New""Heroic Monkey, might and fame, Adversaries rise, to test his name.""One of the major highlights of Journey to the West is its diverse cast of adversaries, each with their unique strengths.As the Destined One, you will encounter powerful foes and worthy rivals throughout your journey. Fearlessly engage them in epic battles where surrender is not an option.• Temper Your Mastery of Varied Spells""Spells unbound, talents in play,Unleashed abilities seize the day.""Spells, transformations, and magic vessels of all manifestations, in which some counteract while others amplify, have long been iconic combat elements of Chinese mythology.As the Destined One, aside from mastering various staff techniques, you can also freely combine different spells, abilities, weapons, and equipment to find a winning strategy that best suits your combat style.• Discover Heartfelt Tales Behind Every Facade""Within all souls, both wild and tame,There thrives a tale of life's fierce flame.""Beneath the ferocity and craftiness of your foes lies an engaging tapestry of their origins, personalities, and motivations waiting to be revealed.As the Destined One, you will uncover the stories behind a variety of characters, delving beyond your battles with them to taste the love, hate, greed, and fury they once held and still carry within.","['Mythology', 'Action RPG', 'Action', 'RPG', 'Souls-like', 'Combat', 'Story Rich', 'Singleplayer', 'Drama', 'Action-Adventure', 'Dark Fantasy', 'Atmospheric', 'Adventure', '3D', 'Fantasy', 'Hack and Slash', 'Third Person', 'Difficult', 'Music', 'Violent']",['Game Science'],Overwhelmingly Positive,https://store.steampowered.com/app/2358720/Black_Myth_Wukong?snr=1_category_4_action_salebrowseall,game black myth wukong action rpg rooted chinese mythology story based journey west one four great classical novels chinese literature shall set destined one venture challenges marvels ahead uncover obscured truth beneath veil glorious legend past explore land vast wondersa world unseen wonders gleamand stride new scene streamsenter fascinating realm filled wonders discoveries ancient chinese mythologyas destined one shall traverse array breathtaking distinctive landscapes classic tale composing epic adventure seen anew confront mighty foes old newheroic monkey might fame adversaries rise test nameone major highlights journey west diverse cast adversaries unique strengthsas destined one encounter powerful foes worthy rivals throughout journey fearlessly engage epic battles surrender option temper mastery varied spellsspells unbound talents playunleashed abilities seize dayspells transformations magic vessels manifestations counteract others amplify long iconic combat elements chinese mythologyas destined one aside mastering various staff techniques also freely combine different spells abilities weapons equipment find winning strategy best suits combat style discover heartfelt tales behind every facadewithin souls wild tamethere thrives tale lifes fierce flamebeneath ferocity craftiness foes lies engaging tapestry origins personalities motivations waiting revealedas destined one uncover stories behind variety characters delving beyond battles taste love hate greed fury held still carry within
Counter-Strike 2,"About This Game
							For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.A free upgrade to CS:GO, Counter-Strike 2 marks the largest technical leap in Counter-Strike’s history. Built on the Source 2 engine, Counter-Strike 2 is modernized with realistic physically-based rendering, state of the art networking, and upgraded Community Workshop tools.In addition to the classic objective-focused gameplay that Counter-Strike pioneered in 1999, Counter-Strike 2 features:All-new CS Ratings with the updated Premier modeGlobal and Regional leaderboardsUpgraded and overhauled mapsGame-changing dynamic smoke grenadesTick-rate-independent gameplayRedesigned visual effects and audioAll items from CS:GO moving forward to CS2","['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']",['Valve'],Very Positive,https://store.steampowered.com/app/730/CounterStrike_2?snr=1_category_4_action_salebrowseall,game two decades counterstrike offered elite competitive experience one shaped millions players across globe next chapter cs story begin counterstrike 2a free upgrade csgo counterstrike 2 marks largest technical leap counterstrikes history built source 2 engine counterstrike 2 modernized realistic physicallybased rendering state art networking upgraded community workshop toolsin addition classic objectivefocused gameplay counterstrike pioneered 1999 counterstrike 2 featuresallnew cs ratings updated premier modeglobal regional leaderboardsupgraded overhauled mapsgamechanging dynamic smoke grenadestickrateindependent gameplayredesigned visual effects audioall items csgo moving forward cs2
"Warhammer 40,000: Space Marine 2","About This Game
Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes. Fight the enemies of Mankind as Lieutenant Demetrian Titus in this sequel to 2011’s Space Marine, and prove your loyalty once again as you are reinstated to the Ultramarines. Hold at bay the horrors of the galaxy in epic battles on far-flung planets and uncover dark secrets to drive back the everlasting night. Dive into a war of galactic proportions! Enjoy intense, gory and fast-paced third-person action with hundreds of enemies on screen, and purge the relentless Tyranid swarms made possible by Saber’s trademark Swarm Engine.Jump in endlessly brutal and replayable PvE and PvP modes as your own Space Marines, unlocking new skills and cosmetics the more you play! Fight as one of six unique classes, unlock up to 25 perks for each class, add perks to each of your weapons, and customise your appearance with a huge array of armour and weapon cosmetics!","['Warhammer 40K', 'Action', 'Third-Person Shooter', 'Adventure', 'Multiplayer', 'Action-Adventure', 'PvE', 'Co-op', 'Third Person', 'Wargame', 'Sci-fi', '3D', 'Narration', 'Fantasy', 'Space', 'War', 'Realistic', 'Singleplayer', 'Cinematic', 'Futuristic']",['Focus Entertainment'],Very Positive,https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2?snr=1_category_4_action_salebrowseall,game embody superhuman skill brutality space marine unleash deadly abilities devastating weaponry obliterate relentless tyranid swarms defend imperium spectacular thirdperson action solo multiplayer modes fight enemies mankind lieutenant demetrian titus sequel 2011s space marine prove loyalty reinstated ultramarines hold bay horrors galaxy epic battles farflung planets uncover dark secrets drive back everlasting night dive war galactic proportions enjoy intense gory fastpaced thirdperson action hundreds enemies screen purge relentless tyranid swarms made possible sabers trademark swarm enginejump endlessly brutal replayable pve pvp modes space marines unlocking new skills cosmetics play fight one six unique classes unlock 25 perks class add perks weapons customise appearance huge array armour weapon cosmetics
Cyberpunk 2077,"About This Game
Cyberpunk 2077 is an open-world, action-adventure RPG set in the megalopolis of Night City, where you play as a cyberpunk mercenary wrapped up in a do-or-die fight for survival. Improved and featuring all-new free additional content, customize your character and playstyle as you take on jobs, build a reputation, and unlock upgrades. The relationships you forge and the choices you make will shape the story and the world around you. Legends are made here. What will yours be?IMMERSE YOURSELF WITH UPDATE 2.1Night City feels more alive than ever with the free Update 2.1! Take a ride on the fully functional NCART metro system, listen to music as you explore the city with the Radioport, hang out with your partner in V’s apartment, compete in replayable races, ride new vehicles, enjoy improved bike combat and handling, discover hiddens secrets and much, much more!CREATE YOUR OWN CYBERPUNKBecome an urban outlaw equipped with cybernetic enhancements and build your legend on the streets of Night City.EXPLORE THE CITY OF THE FUTURENight City is packed to the brim with things to do, places to see, and people to meet. And it’s up to you where to go, when to go, and how to get there.BUILD YOUR LEGENDGo on daring adventures and build relationships with unforgettable characters whose fates are shaped by the choices you make.EQUIPPED WITH IMPROVEMENTSExperience Cyberpunk 2077 with a host of changes and improvements to gameplay and economy, the city, map usage, and more.CLAIM EXCLUSIVE ITEMSClaim in-game swag & digital goodies inspired by CD PROJEKT RED games as part of the My Rewards program.GO TO CYBERPUNK.NET","['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer', 'Sci-fi', 'Futuristic', 'FPS', 'Mature', 'Story Rich', 'First-Person', 'Atmospheric', 'Exploration', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Character Customization', 'Immersive Sim']",['CD PROJEKT RED'],Very Positive,https://store.steampowered.com/app/1091500/Cyberpunk_2077?snr=1_category_4_action_salebrowseall,game cyberpunk 2077 openworld actionadventure rpg set megalopolis night city play cyberpunk mercenary wrapped doordie fight survival improved featuring allnew free additional content customize character playstyle take jobs build reputation unlock upgrades relationships forge choices make shape story world around legends made beimmerse update 21night city feels alive ever free update 21 take ride fully functional nca metro system listen music explore city radioport hang partner vs apartment compete replayable races ride new vehicles enjoy improved bike combat handling discover hiddens secrets much much morecreate cyberpunkbecome urban outlaw equipped cybernetic enhancements build legend streets night cityexplore city futurenight city packed brim things places see people meet go go get therebuild legendgo daring adventures build relationships unforgettable characters whose fates shaped choices makeequipped improvementsexperience cyberpunk 2077 host changes improvements gameplay economy city map usage moreclaim exclusive itemsclaim ingame swag digital goodies inspired cd projekt red games part rewards programgo cyberpunknet
ELDEN RING,"About This Game
THE CRITICALLY ACCLAIMED FANTASY ACTION RPGRise, Tarnished, and be guided by grace to brandish the power of the Elden Ring.• A Breathtaking World Full of Excitement and MysteryThe Lands Between are part of a vast continent where magnificent open fields and huge dungeons with complex and three-dimensional designs are seamlessly connected. As you explore, the joy of discovering unknown and overwhelming threats awaits you.Mastery of the terrain and knowledge of its secrets can help you overcome enemies and defeat formidable bosses or lead invading players into traps.• Defeat Challenging Foes in Intense CombatCombat in ELDEN RING is simple to learn yet offers hidden depths of mastery. As you seek to become the Elden Lord, you’ll need to explore the balance between attacking and avoiding damage, use a wide variety of weapons, spells, & summons, and perfect your timing to take advantage of your opponents’ weaknesses.• Create and Build Your Own CharacterIn addition to customizing the appearance of your character, there are countless ways to combine the weapons, armor, usable items, and magic that you equip. You can develop your character according to your play style.No matter if you prefer bold physical confrontation, tactical spellcasting, or the subtle art of stealth, you’ll be able to find gear that supports your choices.• An Epic Drama Born from a Myth Created by George R.R. MartinThe founding mythology of Elden Ring was written by George R. R. Martin and adapted into a rich multilayered story. Intersecting goals and desires between the characters create an intense narrative that weaves throughout the Lands Between. The events of the game can unravel in many ways, depending on your interventions.• Play Alongside a Massive Worldwide CommunityThe Tarnished community is massive and active. Your friends may already be among them. You can play with up to two other Tarnished as your cooperative teammates, either by inviting them using a shared password or by summoning them from a pool of nearby community members.There are also ample opportunities to face off against other players, either through co-op invasions, invited duels, or the many player battle options available in the three Colosseums.","['Souls-like', 'Dark Fantasy', 'Open World', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'PvP', 'Atmospheric', 'Great Soundtrack', 'Violent', '3D', 'Character Customization', 'Family Friendly']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']",Very Positive,https://store.steampowered.com/app/1245620/ELDEN_RING?snr=1_category_4_action_salebrowseall,game critically acclaimed fantasy action rpgrise tarnished guided grace brandish power elden ring breathtaking world full excitement mysterythe lands part vast continent magnificent open fields huge dungeons complex threedimensional designs seamlessly connected explore joy discovering unknown overwhelming threats awaits youmastery terrain knowledge secrets help overcome enemies defeat formidable bosses lead invading players traps defeat challenging foes intense combatcombat elden ring simple learn yet offers hidden depths mastery seek become elden lord youll need explore balance attacking avoiding damage use wide variety weapons spells summons perfect timing take advantage opponents weaknesses create build characterin addition customizing appearance character countless ways combine weapons armor usable items magic equip develop character aording play styleno matter prefer bold physical confrontation tactical spellcasting subtle art stealth youll able find gear supports choices epic drama born myth created george rr martinthe founding mythology elden ring written george r r martin adapted rich multilayered story intersecting goals desires characters create intense narrative weaves throughout lands events game unravel many ways depending interventions play alongside massive worldwide communitythe tarnished community massive active friends may already among play two tarnished cooperative teammates either inviting using shared password summoning pool nearby community membersthere also ample opportunities face players either coop invasions invited duels many player battle options available three colosseums
PUBG: BATTLEGROUNDS,"About This Game
LAND, LOOT, SURVIVE!Play PUBG: BATTLEGROUNDS for free.Land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse Battlegrounds.Squad up and join the Battlegrounds for the original Battle Royale experience that only PUBG: BATTLEGROUNDS can offer.This content download will also provide access to the BATTLEGROUNDS Test Server, which requires a separate download to play. Optional in-game purchases available.","['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']","['KRAFTON, Inc.']",Mixed,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS?snr=1_category_4_action_salebrowseall,game land loot surviveplay pubg battlegrounds freeland strategic locations loot weapons supplies survive become last team standing across various diverse battlegroundssquad join battlegrounds original battle royale experience onlypubg battlegrounds offerthis content download also provide aess battlegrounds test server requires separate download playoptional ingame purchases available
Apex Legends™,"About This Game
							Conquer with character in Apex Legends, a free-to-play* Hero shooter where legendary characters with powerful abilities team up to battle for fame & fortune on the fringes of the Frontier.Master an ever-growing roster of diverse Legends, deep-tactical squad play, and bold, new innovations that go beyond the Battle Royale experience — all within a rugged world where anything goes. Welcome to the next evolution of Hero Shooter.KEY FEATURESThis game includes optional in-game purchases of virtual currency that can be used to acquire virtual in-game items, including a random selection of virtual in-game items.Note that any unused Apex Coins will expire 180 days after the first date in which they are acquired or purchased. The oldest Apex Coins that are subject to expiration in your balance will always be used first when using them to make in-game purchases.Apex Packs purchase is not available in Belgium.","['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Survival', 'Loot', 'Character Customization', 'Funny', 'Co-op', 'Lore-Rich', 'Cyberpunk', 'Cinematic']",['Electronic Arts'],Mixed,https://store.steampowered.com/app/1172470/Apex_Legends?snr=1_category_4_action_salebrowseall,game conquer character apex legends freetoplay hero shooter legendary characters powerful abilities team battle fame fortune fringes frontiermaster evergrowing roster diverse legends deeptactical squad play bold new innovations go beyond battle royale experience within rugged world anything goes welcome next evolution hero shooterkey featuresthis game includes optional ingame purchases virtual currency used acquire virtual ingame items including random selection virtual ingame itemsnote unused apex coins expire 180 days first date acquired purchased oldest apex coins subject expiration balance always used first using make ingame purchasesapex packs purchase available belgium
Dota 2,"About This Game
The most-played game on Steam.Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has truly taken on a life of its own.One Battlefield. Infinite Possibilities.When it comes to diversity of heroes, abilities, and powerful items, Dota boasts an endless array—no two games are the same. Any hero can fill multiple roles, and there's an abundance of items to help meet the needs of each game. Dota doesn't provide limitations on how to play, it empowers you to express your own style.All heroes are free.Competitive balance is Dota's crown jewel, and to ensure everyone is playing on an even field, the core content of the game—like the vast pool of heroes—is available to all players. Fans can collect cosmetics for heroes and fun add-ons for the world they inhabit, but everything you need to play is already included before you join your first match.Bring your friends and party up.Dota is deep, and constantly evolving, but it's never too late to join. Learn the ropes playing co-op vs. bots. Sharpen your skills in the hero demo mode. Jump into the behavior- and skill-based matchmaking system that ensures you'll be matched with the right players each game.","['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",['Valve'],Very Positive,https://store.steampowered.com/app/570/Dota_2?snr=1_category_4_action_salebrowseall,game mostplayed game steamevery day millions players worldwide enter battle one hundred dota heroes matter 10th hour play 1000th theres always something new discover regular updates ensure constant evolution gameplay features heroes dota 2 truly taken life ownone battlefield infinite possibilitieswhen comes diversity heroes abilities powerful items dota boasts endless arrayno two games hero fill multiple roles theres abundance items help meet needs game dota doesnt provide limitations play empowers express styleall heroes freecompetitive balance dotas crown jewel ensure everyone playing even field core content gamelike vast pool heroesis available players fans collect cosmetics heroes fun addons world inhabit everything need play already included join first matchbring friends party updota deep constantly evolving never late join learn ropes playing coop vs bots sharpen skills hero demo mode jump behavior skillbased matchmaking system ensures youll matched right players game
Party Animals,"About This Game
 Make Painfully Great Memories with Your Friends in Party Animals.  Mess With Your Friend in 100 Different WaysOr Together You Could Eliminate OthersTeamwork Is Also Highly Appreciated HereEspecially When Fighting For Gummy Bear","['Casual', 'Multiplayer', 'Funny', 'Cute', 'Party Game', 'Fighting', 'Action', 'PvP', 'Co-op', 'Party', 'Family Friendly', 'Online Co-Op', 'Local Multiplayer', 'Physics', '3D Fighter', '4 Player Local', 'Indie', 'Local Co-Op', 'Team-Based', 'Action-Adventure']",['Source Technology'],Mostly Positive,https://store.steampowered.com/app/1260320/Party_Animals?snr=1_category_4_action_salebrowseall,game make painfully great memories friends party animals mess friend 100 different waysor together could eliminate othersteamwork also highly appreciated hereespecially fighting gummy bear
Total War: WARHAMMER III,"About This Game
The last roar of a dying god ruptures the boundary between worlds, opening a portal to the Realm of Chaos. From this maelstrom, the four Ruinous Powers – Khorne, Nurgle, Tzeentch and Slaanesh – emerge, spreading darkness and despair.The stern warriors of Kislev and the vast empire of Grand Cathay stand at the threshold, as a vengeful Daemon Prince vows to destroy those who corrupted him. The coming conflict will engulf all. Will you conquer your daemons? Or command them?With seven unique races and hundreds of units under your command, raise an army and dominate in epic real-time battles across a world of breathtaking scale and spectacle.In the most ambitious and groundbreaking Total War title to date, dive into a captivating narrative that will take you to the mind-bending Realm of Chaos and back again. Forge your empire in a strategy sandbox that ensures no two campaigns are ever the same.Play as 10 Legendary Lords! Will you side with the Chaos Gods and take one of their Daemonic Champions, play as an ancient transforming Dragon from Grand Cathay, defend the frozen nation of Kislev with the Ice Queen or play the ultimate villain as the Daemon Prince?Customise the Daemon Prince to your own unique design with a huge suite of body parts and powers, creating billions of potential combinations to suit your own playstyle.Multiplayer is now bigger than ever. With the vast 8-player Realm of Chaos multiplayer campaign, the intense 1 v 1 Domination mode, the story-driven multiplayer campaigns built around Kislev and Grand Cathay and ranked & custom battles, there’s no shortage of ways to cause chaos with friends.","['Strategy', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Fantasy', 'Real Time Tactics', 'War', 'Dark Fantasy', 'Action', 'Tactical', 'Atmospheric', 'Dwarf', 'Games Workshop', 'Multiplayer', 'Colorful', 'Co-op', 'PvP', 'Singleplayer', 'Story Rich', 'Online Co-Op']","['SEGA', 'Feral Interactive']",Mixed,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III?snr=1_category_4_action_salebrowseall,game last roar dying god ruptures boundary worlds opening portal realm chaos maelstrom four ruinous powers khorne nurgle tzeentch slaanesh emerge spreading darkness despairthe stern warriors kislev vast empire grand cathay stand threshold vengeful daemon prince vows destroy corrupted coming conflict engulf conquer daemons command themwith seven unique races hundreds units command raise army dominate epic realtime battles across world breathtaking scale spectaclein ambitious groundbreaking total war title date dive captivating narrative take mindbending realm chaos back forge empire strategy sandbox ensures two campaigns ever sameplay 10 legendary lords side chaos gods take one daemonic champions play ancient transforming dragon grand cathay defend frozen nation kislev ice queen play ultimate villain daemon princecustomise daemon prince unique design huge suite body parts powers creating billions potential combinations suit playstylemultiplayer bigger ever vast 8player realm chaos multiplayer campaign intense 1 v 1 domination mode storydriven multiplayer campaigns built around kislev grand cathay ranked custom battles theres shortage ways cause chaos friends
