Genre,Count
Singleplayer,225
Multiplayer,200
Action,165
Simulation,150
Adventure,121
Co-op,112
Open World,112
Strategy,99
Atmospheric,94
First-Person,92
RPG,81
Online Co-Op,80
Indie,80
Sandbox,80
PvP,78
Sports,77
Third Person,73
Realistic,72
Great Soundtrack,68
3D,67
Story Rich,66
Casual,62
Exploration,61
Character Customization,55
Tactical,49
Early Access,49
Fantasy,48
Survival,48
Funny,47
Racing,47
Shooter,46
FPS,44
Sci-fi,44
Moddable,43
Controller,42
Management,42
Difficult,41
Building,39
2D,37
War,34
Driving,34
Turn-Based Strategy,33
Violent,32
Family Friendly,32
Physics,32
Action RPG,31
PvE,31
Horror,30
eSports,28
Immersive Sim,28
Replay Value,28
Free to Play,27
RTS,27
Base Building,27
Massively Multiplayer,27
Gore,26
Crafting,26
VR,26
Team-Based,24
Military,24
Colorful,24
Arcade,24
Historical,24
Combat,23
Action-Adventure,23
Automobile Sim,23
Comedy,23
Economy,23
Competitive,22
Third-Person Shooter,22
Grand Strategy,22
Choices Matter,22
Relaxing,22
Space,21
Turn-Based,21
Resource Management,21
Local Multiplayer,20
City Builder,20
Cute,19
Bikes,19
Post-apocalyptic,18
Puzzle,18
Motorbike,18
Dark Fantasy,17
Lore-Rich,17
Local Co-Op,17
Dark,17
Anime,16
Pixel Graphics,15
Hack and Slash,14
Stealth,14
Psychological Horror,14
Medieval,14
Multiple Endings,14
Roguelite,14
Isometric,14
Party-Based RPG,14
4X,14
Mature,13
Strategy RPG,13
Female Protagonist,13
Open World Survival Craft,13
JRPG,13
Magic,13
Offroad,13
Motocross,13
Souls-like,12
Cinematic,12
Real Time Tactics,12
Zombies,12
Turn-Based Combat,12
Survival Horror,12
Card Game,12
Sexual Content,11
Classic,11
Cartoony,11
Procedural Generation,11
Tactical RPG,11
Turn-Based Tactics,11
Deckbuilding,11
Trading,10
Loot,10
MMORPG,10
Looter Shooter,10
Roguelike,10
Dungeon Crawler,10
Skateboarding,10
Parkour,9
Modern,9
Platformer,9
Life Sim,9
Basketball,9
Golf,9
Wargame,8
Futuristic,8
Destruction,8
Stylized,8
Hand-drawn,8
Dating Sim,8
Tabletop,8
Board Game,8
Fast-Paced,7
Nudity,7
3D Fighter,7
4 Player Local,7
Flight,7
World War II,7
Aliens,7
Action Roguelike,7
Memes,7
Class-Based,7
Retro,7
Mystery,7
Education,7
Nature,7
Mod,7
Hex Grid,7
Split Screen,7
Mini Golf,7
Mythology,6
Battle Royale,6
Games Workshop,6
Martial Arts,6
Emotional,6
Beautiful,6
Top-Down,6
Puzzle Platformer,6
Real-Time with Pause,6
Card Battler,6
Football (Soccer),6
Colony Sim,6
Transportation,6
Addictive,6
Boxing,6
Snowboarding,6
Cycling,6
BMX,6
Drama,5
Hero Shooter,5
Fighting,5
Dwarf,5
Swordplay,5
Crime,5
Perma Death,5
Cooking,5
Soundtrack,5
3D Platformer,5
Level Editor,5
3D Vision,5
Remake,5
CRPG,5
Romance,5
TrackIR,5
Steampunk,5
Farming Sim,5
Vehicular Combat,5
Fishing,5
Political,5
Trading Card Game,5
6DOF,5
Minimalist,5
Combat Racing,5
Skating,5
Tower Defense,4
Party Game,4
Beat 'em up,4
America,4
Dark Humor,4
Time Management,4
LGBTQ+,4
Point & Click,4
Bullet Hell,4
Heist,4
Dinosaurs,4
Dragons,4
Automation,4
Visual Novel,4
Detective,4
Real-Time,4
Walking Simulator,4
Gambling,4
Inventory Management,4
Capitalism,4
Alternate History,4
Diplomacy,4
Space Sim,4
Tutorial,4
Skiing,4
Tennis,4
Pool,4
ATV,4
Music,3
Cyberpunk,3
Ninja,3
Naval,3
Epic,3
Social Deduction,3
Spectacle fighter,3
NSFW,3
Cartoon,3
Choose Your Own Adventure,3
Western,3
Horses,3
Psychological,3
Minigames,3
Science,3
Demons,3
Dystopian,3
Surreal,3
Short,3
Artificial Intelligence,3
2.5D,3
Logic,3
Politics,3
Agriculture,3
Snow,3
Tanks,3
Trains,3
Touch-Friendly,3
Action RTS,3
Baseball,3
Bowling,3
Archery,3
Warhammer 40K,2
Party,2
Robots,2
Quick-Time Events,2
Blood,2
2D Fighter,2
Pirates,2
Sailing,2
Investigation,2
Gun Customization,2
2D Platformer,2
Dark Comedy,2
Design & Illustration,2
Gaming,2
Side Scroller,2
Mechs,2
Score Attack,2
1980s,2
Co-op Campaign,2
Creature Collector,2
Mining,2
Underwater,2
Roguelike Deckbuilder,2
Mouse only,2
Superhero,2
Sequel,2
Collectathon,2
Naval Combat,2
Football (American),2
Voxel,2
Runner,2
Wholesome,2
Cozy,2
Rome,2
Wrestling,2
Narration,1
MOBA,1
Illuminati,1
Conversation,1
Utilities,1
Software,1
Animation & Modeling,1
Photo Editing,1
Game Development,1
Assassin,1
Rhythm,1
Metroidvania,1
Time Travel,1
Vampire,1
Character Action Game,1
Silent Protagonist,1
Reboot,1
Supernatural,1
Dungeons & Dragons,1
Gothic,1
Thriller,1
Conspiracy,1
Foreign,1
Lovecraftian,1
Hacking,1
1990's,1
Extraction Shooter,1
Old School,1
RPGMaker,1
Auto Battler,1
Political Sim,1
Cold War,1
Hunting,1
Farming,1
GameMaker,1
Sniper,1
Outbreak Sim,1
Experimental,1
FMV,1
Medical Sim,1
Nonlinear,1
Comic Book,1
Satire,1
Solitaire,1
Vikings,1
World War I,1
Immersive,1
Text-Based,1
Time Manipulation,1
Volleyball,1
Hockey,1
Arena Shooter,1
